Observationsstation;År;Månad;Dag;Tid [Lokal tid];Lufttemperatur [°C];Daggpunktstemperatur [°C];Molnighet [1/8];Lufttryck [hPa];Relativ luftfuktighet [%];Nederbördsmängd [mm];Snödjup [cm];Horisontell sikt [m];Vindriktning [°];Byvindshastighet [m/s];Vindhastighet [m/s]
Helsingfors Kajsaniemi;2025;1;1;22:50;-3,9;-5,6;Mulet (8/8);982,5;88;0;5;50000;359;6,9;3,5
Helsingfors Kajsaniemi;2025;1;1;23:00;-3,9;-5,6;Mulet (8/8);982,3;88;0;5;50000;2;6,9;4,2
Helsingfors Kajsaniemi;2025;1;1;23:10;-3,9;-5,8;Mulet (8/8);982,2;87;0;5;50000;6;7,3;4,9
Helsingfors Kajsaniemi;2025;1;1;23:20;-4;-5,9;Mulet (8/8);982;86;0;5;49980;9;8,6;4,8
Helsingfors Kajsaniemi;2025;1;1;23:30;-3,9;-5,8;Mulet (8/8);981,8;87;0;5;50000;11;7,7;4
Helsingfors Kajsaniemi;2025;1;1;23:40;-4;-6;Mulet (8/8);981,8;86;0;5;50000;13;8,6;5,6
Helsingfors Kajsaniemi;2025;1;1;23:50;-4;-6;Mulet (8/8);981,8;86;0;5;50000;11;7,7;4,2
Helsingfors Kajsaniemi;2025;1;2;00:00;-3,9;-5,7;Mulet (8/8);981,9;87;0;5;49630;10;8,5;5,5
Helsingfors Kajsaniemi;2025;1;2;00:10;-4;-6;Mulet (8/8);981,8;86;0;5;50000;4;9,8;5,6
Helsingfors Kajsaniemi;2025;1;2;00:20;-4;-5,9;Molnigt (7/8);981,8;87;0;5;50000;358;8,9;4,6
Helsingfors Kajsaniemi;2025;1;2;00:30;-4,1;-5,8;Molnigt (7/8);981,7;87;0;5;50000;352;8,3;4,8
Helsingfors Kajsaniemi;2025;1;2;00:40;-4,1;-6;Molnigt (7/8);981,8;86;0;5;50000;352;7,5;4,4
Helsingfors Kajsaniemi;2025;1;2;00:50;-4;-6,1;Mulet (8/8);981,8;85;0;5;50000;355;8,9;4,6
Helsingfors Kajsaniemi;2025;1;2;01:00;-4;-6,2;Mulet (8/8);981,8;85;0;5;50000;351;9,1;4,7
Helsingfors Kajsaniemi;2025;1;2;01:10;-4,1;-6,1;Molnigt (7/8);981,7;86;0;5;50000;353;8;4,8
Helsingfors Kajsaniemi;2025;1;2;01:20;-4,2;-6,2;Molnigt (7/8);981,9;86;0;5;50000;355;8,8;4,4
Helsingfors Kajsaniemi;2025;1;2;01:30;-4,2;-6,2;Molnigt (7/8);981,9;86;0;5;32360;351;8,2;4,7
Helsingfors Kajsaniemi;2025;1;2;01:40;-4,2;-6;Molnigt (7/8);982;87;0;5;50000;349;6,6;3,9
Helsingfors Kajsaniemi;2025;1;2;01:50;-4,2;-6,1;Molnigt (7/8);982;87;0;5;50000;353;7,1;4,7
Helsingfors Kajsaniemi;2025;1;2;02:00;-4,3;-6,1;Molnigt (7/8);982;87;0;5;50000;351;8,1;4,7
Helsingfors Kajsaniemi;2025;1;2;02:10;-4,4;-6,3;Molnigt (7/8);982;86;0;5;50000;342;6,6;4,1
Helsingfors Kajsaniemi;2025;1;2;02:20;-4,6;-6,4;Molnigt (7/8);982,2;87;0;5;50000;337;7,6;5
Helsingfors Kajsaniemi;2025;1;2;02:30;-4,6;-6,4;Molnigt (7/8);982,3;87;0;5;50000;340;7,5;5
Helsingfors Kajsaniemi;2025;1;2;02:40;-4,6;-6,8;Molnigt (6/8);982,5;85;0;5;50000;344;9,2;5,8
Helsingfors Kajsaniemi;2025;1;2;02:50;-4,8;-6,9;Mest klart (3/8);982,6;86;0;5;50000;340;8,6;5,6
Helsingfors Kajsaniemi;2025;1;2;03:00;-4,9;-6,9;Klart (1/8);982,8;86;0;5;50000;334;8,4;5,4
Helsingfors Kajsaniemi;2025;1;2;03:10;-5,2;-7,1;Klart (1/8);983,1;87;0;5;50000;330;6,5;4,7
Helsingfors Kajsaniemi;2025;1;2;03:20;-5,5;-7,3;Klart (1/8);983,3;87;0;5;50000;328;7,4;5
Helsingfors Kajsaniemi;2025;1;2;03:30;-5,7;-7,5;Klart (1/8);983,4;87;0;5;50000;327;7,8;5,5
Helsingfors Kajsaniemi;2025;1;2;03:40;-5,8;-7,6;Klart (0/8);983,6;87;0;5;50000;329;8,1;5,4
Helsingfors Kajsaniemi;2025;1;2;03:50;-5,9;-7,7;Klart (0/8);983,9;87;0;5;50000;329;7;5,2
Helsingfors Kajsaniemi;2025;1;2;04:00;-6;-7,8;Klart (0/8);984,1;87;0;5;50000;326;7,1;4,9
Helsingfors Kajsaniemi;2025;1;2;04:10;-6,1;-7,9;Klart (0/8);984,2;87;0;5;50000;330;7,4;5,3
Helsingfors Kajsaniemi;2025;1;2;04:20;-6,3;-8;Klart (0/8);984,2;87;0;5;50000;330;6,4;4,8
Helsingfors Kajsaniemi;2025;1;2;04:30;-6,4;-8,1;Mest klart (2/8);984,5;88;0;5;50000;326;5,9;4,3
Helsingfors Kajsaniemi;2025;1;2;04:40;-6,6;-8,2;Halv klart (5/8);984,7;88;0;5;50000;324;6,2;4
Helsingfors Kajsaniemi;2025;1;2;04:50;-6,6;-8,3;Molnigt (7/8);984,8;88;0;5;50000;322;5,6;4,1
Helsingfors Kajsaniemi;2025;1;2;05:00;-6,7;-8,4;Molnigt (7/8);985;88;0;5;50000;322;5,7;4
Helsingfors Kajsaniemi;2025;1;2;05:10;-6,8;-8,4;Molnigt (7/8);985,2;88;0;5;50000;322;7,2;4,2
Helsingfors Kajsaniemi;2025;1;2;05:20;-6,7;-8,3;Molnigt (7/8);985,4;88;0;5;50000;321;6,3;4
Helsingfors Kajsaniemi;2025;1;2;05:30;-6,6;-8,3;Molnigt (7/8);985,5;88;0;5;50000;321;6,7;4,4
Helsingfors Kajsaniemi;2025;1;2;05:40;-6,5;-8,2;Molnigt (7/8);985,6;88;0;5;50000;321;5,8;4
Helsingfors Kajsaniemi;2025;1;2;05:50;-6,5;-8,2;Molnigt (7/8);985,6;88;0;5;50000;320;6;3,7
Helsingfors Kajsaniemi;2025;1;2;06:00;-6,6;-8,2;Halv klart (5/8);985,7;88;0;5;50000;322;5,3;3,4
Helsingfors Kajsaniemi;2025;1;2;06:10;-6,6;-8,3;Halv klart (4/8);985,9;88;0;5;50000;320;5,2;3,4
Helsingfors Kajsaniemi;2025;1;2;06:20;-6,6;-8,3;Mest klart (3/8);986;88;0;5;50000;319;6,1;4,2
Helsingfors Kajsaniemi;2025;1;2;06:30;-6,8;-8,5;Halv klart (5/8);986,1;88;0;5;50000;318;6,8;4,1
Helsingfors Kajsaniemi;2025;1;2;06:40;-7;-8,6;Mest klart (3/8);986,2;89;0;5;50000;317;5,6;4
Helsingfors Kajsaniemi;2025;1;2;06:50;-7,1;-8,4;Mest klart (2/8);986,2;90;0;5;50000;316;5,8;3,9
Helsingfors Kajsaniemi;2025;1;2;07:00;-7,2;-8,6;Klart (1/8);986,3;89;0;5;50000;320;5,3;3,8
